community,members
1022,raw_q36_The_DPA_found_the_defendant_violated_Article_35_by_failing_to_conduct_a_data_protection_impact_assessment_for_biometric_data_processing_The_legal_basis_of_consent_was_invalid_due_to_power_imbalance_in_employment_context
1023,raw_q36_The_DPA_found_that_the_video_surveillance_camera_installation_complied_with_data_minimization_principles_capturing_only_necessary_public_space_for_security_purposes_and_no_violation_of_Article_5_was_established
1024,raw_q36_The_DPA_found_that_the_defendant_was_legitimized_to_process_the_claimant_s_personal_data_based_on_contract_execution_vehicle_purchase_not_consent_and_therefore_no_violation_of_Article_6_occurred
1025,raw_q36_The_DPA_found_that_the_defendant_had_valid_consent_through_a_signed_image_rights_assignment_contract_thus_no_violation_of_Article_6_occurred
1026,raw_q36_The_DPA_found_that_Nordea_complied_with_the_complainant_s_access_request_by_providing_a_transcript_and_edited_audio_file_satisfying_Article_15_requirements_without_violating_data_subject_rights
1027,raw_q36_The_DPA_found_no_violation_of_Article_6_as_Niantic_obtained_consent_through_pop_up_windows_and_provided_accessible_privacy_policies_and_terms_of_service
1028,raw_q36_The_DPA_found_no_GDPR_violations_as_the_claimant_s_access_request_was_deemed_excessive_and_abusive_under_Article_12_5_with_the_defendant_properly_requesting_specification_of_the_request
1029,raw_q36_The_DPA_found_no_violation_of_Article_5_1_c_data_minimization_as_the_cameras_were_limited_to_private_property_with_proper_signage_and_no_evidence_of_public_space_capture
1030,raw_q36_The_DPA_found_no_violation_of_Article_5_principles_Regarding_Article_6_the_defendant_relied_on_legitimate_interests_and_the_balancing_test_concluded_that_legitimate_interests_prevailed_over_the_data_subject_s_rights_due_to_the_public_interest_in_accessing_professional_information
1031,raw_q36_The_DPA_found_no_violation_of_Article_13_as_the_defendant_provided_adequate_information_to_employees_about_the_fingerprint_system_implementation_including_purpose_legal_basis_and_data_protection_details_before_data_collection
1032,raw_q36_The_DPA_found_no_processing_of_personal_data_occurred_as_temperature_measurements_were_not_linked_to_identified_or_identifiable_persons_thus_no_GDPR_principles_were_violated
1033,raw_q36_The_DPA_found_no_evidence_of_infringement_RAE_ceased_Google_Analytics_use_promptly_after_Schrems_II_and_claimed_public_interest_legal_basis_under_Article_6_1_e
1034,raw_q36_The_DPA_found_no_evidence_of_coercion_or_unlawful_processing_data_collection_was_voluntary_informed_and_based_on_consent_and_legal_obligations_for_public_health_purposes
1035,raw_q36_The_DPA_found_violations_of_Article_5_1_a_due_to_unfairness_in_monitoring_employees_changing_in_alarm_stands_without_masking_and_Article_5_1_c_due_to_excessive_24_7_real_time_surveillance_beyond_necessary_purposes_Legal_basis_under_Article_6_1_e_was_upheld_for_public_task_necessity
1036,raw_q36_The_DPA_found_violations_of_data_minimisation_under_Article_5_1_c_due_to_unnecessary_publication_of_sensitive_personal_data_beyond_names_of_public_figures_and_security_under_Article_32_due_to_inadequate_redaction_allowing_easy_access_to_hidden_data_Freedom_of_expression_prevailed_for_publishing_names_of_high_ranking_bank_officials_in_a_public_interest_story_on_bank_recapitalization_but_not_for_other_data
1037,raw_q36_The_DPA_opined_that_legal_obligation_under_Article_6_1_c_is_the_appropriate_basis_for_processing_student_data_in_distance_education_not_consent_and_emphasized_adherence_to_data_minimization_and_security_principles
1038,raw_q36_The_controller_violated_Article_32_by_failing_to_implement_adequate_technical_and_organizational_measures_leading_to_unauthorized_disclosure_and_access_to_personal_data_including_special_category_health_data
1039,raw_q36_The_decision_addresses_a_violation_of_Article_21_of_the_LSSI_for_sending_commercial_communications_without_consent_not_GDPR_Articles_5_or_6
1040,raw_q36_The_decision_addresses_a_violation_of_the_right_to_object_under_Article_21_GDPR_in_the_context_of_unsolicited_commercial_calls_No_detailed_analysis_of_Article_5_or_6_principles_is_provided_beyond_linking_to_legitimate_interests_for_marketing
1041,raw_q36_The_decision_addresses_violation_of_Article_5_1_b_GDPR_due_to_retention_of_personal_data_for_over_16_years_after_the_data_subject_ceased_being_a_client_without_any_ongoing_products_or_services_Bankia_blocked_the_data_but_failed_to_delete_it_as_required_under_storage_limitation_and_purpose_limitation_principles
1042,raw_q36_The_decision_clarifies_that_data_on_self_employed_persons_in_culture_related_to_their_registered_activity_are_not_protected_as_personal_data_under_GDPR_as_they_are_considered_business_entity_data_under_Slovenian_law
1043,raw_q36_The_decision_did_not_find_violations_of_GDPR_Articles_5_or_6_as_the_website_in_question_no_longer_existed_and_redirected_to_a_different_entity_s_site_making_the_original_complaint_moot
1044,raw_q36_The_decision_discusses_potential_violation_of_Article_5_1_c_data_minimisation_due_to_alleged_video_surveillance_cameras_oriented_towards_complainant_s_home_but_the_procedure_was_archived_as_the_responsible_party_could_not_be_identified
1045,raw_q36_The_decision_discusses_processing_under_Article_6_1_c_for_legal_obligations_under_anti_money_laundering_laws_noting_the_bank_must_have_appropriate_procedures_but_IP_is_not_competent_to_assess_adequacy
1046,raw_q36_The_decision_does_not_discuss_GDPR_Article_5_or_6_principles_it_focuses_on_LSSI_cookie_consent_violations
1047,raw_q36_The_decision_does_not_discuss_GDPR_Article_5_or_6_principles_it_focuses_solely_on_LSSI_violations_regarding_cookie_consent_mechanisms
1048,raw_q36_The_decision_does_not_discuss_GDPR_Article_5_or_6_violations_focusing_instead_on_Spanish_LSSI_cookie_law_violations_regarding_inadequate_cookie_banner_information_and_lack_of_rejection_mechanism
1049,raw_q36_The_decision_finds_a_violation_of_Article_37_GDPR_due_to_failure_to_appoint_a_DPO_as_required_for_public_authorities_No_other_Article_5_or_6_principles_are_discussed
1050,raw_q36_The_decision_finds_a_violation_of_Article_6_1_a_GDPR_due_to_processing_personal_data_without_consent_or_any_lawful_basis_No_other_Article_5_or_6_principles_are_explicitly_discussed_beyond_lawfulness
1051,raw_q36_The_decision_focuses_on_LSSI_violations_regarding_commercial_communications_not_GDPR_Article_5_6_principles
1052,raw_q36_The_DPA_found_no_GDPR_violations_as_the_controller_had_adequate_security_measures_promptly_notified_the_breach_and_took_appropriate_mitigating_actions_The_breach_resulted_from_human_error_by_a_processor_s_employee
1053,raw_q36_The_DPA_found_no_GDPR_violation_concluding_that_taking_a_photograph_of_an_ID_with_an_official_police_mobile_phone_during_COVID_19_perimeter_control_complied_with_Article_32_security_measures_and_was_justified_under_public_security_laws
1054,raw_q36_Defendant_violated_storage_limitation_principle_by_retaining_complainant_s_data_for_nearly_16_years_after_mortgage_contract_cancellation_processing_data_without_valid_legal_basis
1055,raw_q36_Google_LLC_failed_to_respond_timely_to_a_data_subject_s_erasure_request_regarding_URL_deindexation_violating_Article_5_security_principle_by_not_ensuring_proper_handling_of_rights_requests
1056,raw_q36_Klarna_failed_to_provide_transparent_information_on_processing_purposes_legal_bases_data_sharing_storage_periods_data_subject_rights_and_automated_decision_making_violating_Articles_5_1_a_5_2_12_13_and_14_GDPR
1057,raw_q36_KRY_violated_Article_5_1_f_and_2_and_Article_32_1_and_2_by_failing_to_conduct_adequate_needs_and_risk_analyses_and_not_restricting_user_access_permissions_to_only_what_is_necessary_for_healthcare_tasks_lacking_appropriate_security_measures_and_accountability
1058,raw_q36_Insufficient_information_provided_to_data_subjects_invalidating_consent_biometric_data_processing_lacked_transparency_and_free_informed_consent_violating_Article_5_principles
1059,raw_q36_Illegal_processing_of_patient_data_in_a_video_without_legal_basis_violating_principles_of_lawfulness_purpose_limitation_data_minimisation_security_and_accountability
1060,raw_q36_INDECEMI_violated_Article_5_1_f_GDPR_by_failing_to_ensure_adequate_security_resulting_in_unauthorized_disclosure_of_personal_data_via_email_to_wrong_recipient
1061,raw_q36_Google_s_search_engine_processing_of_personal_data_was_found_to_violate_storage_limitation_principles_by_continuing_to_link_claimant_s_name_to_outdated_URLs_after_Constitutional_Court_anonymization_outweighing_Google_s_legitimate_interests_claim
1062,raw_q36_Excessive_GPS_monitoring_of_employee_without_proper_information_legal_basis_or_less_intrusive_alternatives_data_stored_beyond_legal_period_and_used_for_unauthorized_purposes
1063,raw_q36_The_DPA_found_no_GDPR_violation_as_the_processing_fell_under_the_household_exemption_Article_2_2_c_being_exclusively_personal_domestic_activity_by_a_natural_person
1064,raw_q36_Easylife_unlawfully_processed_special_category_health_data_by_inferring_health_conditions_from_purchase_history_without_a_valid_legal_basis_relying_incorrectly_on_legitimate_interests_instead_of_obtaining_explicit_consent_and_failed_to_inform_data_subjects_transparently_about_this_profiling
1065,raw_q36_Defendant_s_website_privacy_policy_lacked_required_information_under_Article_13_GDPR_including_details_on_data_subject_rights_and_complaint_procedures
1066,raw_q36_Defendant_s_video_surveillance_system_captured_images_of_public_space_violating_data_minimization_principle_under_Article_5_1_c_GDPR_by_processing_unnecessary_third_party_data
1067,raw_q36_Defendant_s_video_surveillance_system_captured_excessive_public_space_violating_data_minimization_principle_under_Article_5_1_c_GDPR
1068,raw_q36_Defendant_s_video_surveillance_cameras_were_oriented_towards_public_space_without_justification_violating_data_minimization_principle_under_Article_5_1_c_GDPR
1069,raw_q36_Defendant_s_video_surveillance_cameras_captured_excessive_public_space_and_private_space_of_third_parties_violating_data_minimization_principle_Article_5_1_c_GDPR
1070,raw_q36_MISSING
1071,raw_q36_Mermaids_failed_to_implement_appropriate_security_measures_for_an_internal_email_group_resulting_in_unauthorized_access_to_personal_data_including_special_category_data_and_data_concerning_children
1072,raw_q36_NOT_DISCUSSED
1073,raw_q36_NOT_MENTIONED
1074,raw_q36_No_infringement_determination_made_due_to_inability_to_identify_defendant_case_filed_without_substantive_findings_on_processing_principles_or_legal_basis
1075,raw_q36_No_violations_found_images_were_removed_promptly_and_no_infringing_party_could_be_identified
1076,raw_q36_Privacy_policy_provided_only_in_English_violated_transparency_requirements_under_Article_13_GDPR_Cookie_policy_lacked_proper_consent_mechanism_and_information
1077,raw_q36_STRING
1078,raw_q36_STRING_Saga_sent_28_5_million_unsolicited_marketing_messages_without_valid_consent_violating_Article_5_1_a_lawfulness_principle
1079,raw_q36_STRING_The_defendant_stated_incorrect_legal_basis_consent_on_its_website_while_actually_relying_on_contract_or_legitimate_interests_violating_Article_13_1_c_transparency_obligation
1080,raw_q36_School_processed_student_personal_data_via_surveys_without_legal_basis_under_Article_6_1_c_violating_Article_5_1_a_lawfulness_principle
1081,raw_q36_The_Cabinet_Office_violated_Article_5_1_f_by_failing_to_ensure_appropriate_security_of_personal_data_and_Article_32_1_by_lacking_appropriate_technical_and_organizational_measures_for_the_2020_New_Year_Honours_List_processing
1082,raw_q36_The_City_Council_failed_to_implement_adequate_security_measures_to_prevent_unauthorized_access_to_municipal_registry_data_by_a_council_member_violating_Article_5_1_f_GDPR_The_case_was_archived_due_to_statute_of_limitations
1083,raw_q36_The_City_Council_processed_personal_data_without_a_legal_basis_under_Article_6_GDPR_by_communicating_a_third_party_s_debt_to_the_claimant_and_requesting_his_data_from_INSS_failing_to_verify_the_marital_property_regime_beforehand
1084,raw_q36_The_Council_failed_to_respond_to_251_out_of_511_subject_access_requests_within_statutory_deadlines_violating_Articles_12_3_15_1_and_15_3_of_the_UK_GDPR
1085,raw_q36_The_DPA_assessed_international_tax_treaties_for_GDPR_compliance_finding_they_lack_necessary_safeguards_for_data_transfers_to_third_countries_like_the_US_particularly_under_Article_46_requirements
1086,raw_q36_The_DPA_expressed_concerns_about_whether_the_planned_data_processing_involves_personal_data_rather_than_anonymized_data_emphasizing_the_need_for_a_proper_legal_basis_if_personal_data_is_processed_and_highlighted_risks_related_to_electronic_communications_and_location_data_anonymization
1087,raw_q52_The_fine_of_3_000_EUR_was_imposed_for_multiple_violations_1_000_EUR_for_Article_32_GDPR_security_1_000_EUR_for_Article_13_GDPR_privacy_information_and_1_000_EUR_for_LSSI_Article_22_2_cookies_Aggravating_factors_included_negligence_lack_of_mitigation_and_non_cooperation
1088,raw_q52_The_proposed_fine_was_10_000_EUR_for_a_minor_infringement_under_LGT_related_to_Article_21_GDPR_Reductions_of_20_for_acknowledgment_of_responsibility_and_another_20_for_voluntary_payment_resulted_in_6_000_EUR_The_amount_considered_the_economic_situation_but_no_specific_factors_beyond_procedure_termination
1089,raw_q52_The_fine_of_5_000_EUR_was_imposed_for_violations_of_Article_32_GDPR_due_to_failure_to_implement_adequate_measures_against_unauthorized_employee_access_affecting_five_passengers_data_Mitigating_factors_included_the_defendant_s_notification_and_cooperation_No_aggravating_factors_were_explicitly_noted_and_the_small_scale_influenced_the_amount
1090,q32_bases_known_LEGAL_OBLIGATION_LEGITIMATE_INTERESTS
1091,q32_bases_unknown_MISSING
1092,q32_bases_known_PUBLIC_TASK
1093,q32_bases_known_NONE_DISCUSSED
1094,q32_bases_known_LEGITIMATE_INTERESTS_PUBLIC_TASK
1095,q32_bases_known_LEGITIMATE_INTERESTS
1096,q32_bases_known_LEGAL_OBLIGATION_PUBLIC_TASK
1097,q32_bases_known_LEGAL_OBLIGATION
1098,q32_bases_unknown_NOT_DISCUSSED
1099,q32_bases_known_CONTRACT_LEGITIMATE_INTERESTS
1100,q32_bases_known_CONTRACT_LEGAL_OBLIGATION
1101,q32_bases_known_CONTRACT
1102,q32_bases_known_CONSENT_PUBLIC_TASK
1103,q32_bases_known_CONSENT_LEGITIMATE_INTERESTS_PUBLIC_TASK
1104,q32_bases_known_CONSENT_LEGITIMATE_INTERESTS
1105,q32_bases_unknown_NOT_APPLICABLE
1106,q32_bases_unknown_NOT_MENTIONED
1107,q32_bases_known_CONSENT_LEGAL_OBLIGATION_PUBLIC_TASK_LEGITIMATE_INTERESTS
1108,q41_aggrav_known_INTENT_NEGLIGENCE_PREVIOUS_INFRINGEMENTS
1109,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_COOPERATION_WITH_AUTHORITY
1110,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE
1111,q41_aggrav_known_NATURE_GRAVITY_DURATION_DATA_CATEGORIES_AFFECTED
1112,q41_aggrav_known_NATURE_GRAVITY_DURATION_COOPERATION_WITH_AUTHORITY
1113,q41_aggrav_known_NATURE_GRAVITY_DURATION
1114,q41_aggrav_known_MISSING
1115,q41_aggrav_known_INTENT_NEGLIGENCE_OTHER_CIRCUMSTANCES
1116,q41_aggrav_known_COOPERATION_WITH_AUTHORITY
1117,q41_aggrav_known_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_TECHNICAL_ORGANIZATIONAL_MEASURES
1118,q41_aggrav_known_INTENT_NEGLIGENCE_MANNER_BECAME_KNOWN
1119,q41_aggrav_known_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_OTHER_CIRCUMSTANCES
1120,q41_aggrav_known_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED
1121,q41_aggrav_known_INTENT_NEGLIGENCE
1122,q41_aggrav_known_DATA_CATEGORIES_AFFECTED
1123,q32_bases_known_CONSENT_LEGAL_OBLIGATION_VITAL_INTERESTS_PUBLIC_TASK_LEGITIMATE_INTERESTS
1124,q32_bases_known_CONSENT_LEGAL_OBLIGATION_PUBLIC_TASK
1125,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_MANNER_BECAME_KNOWN
1126,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_PURPOSE_LIMITATION_SECURITY_ACCOUNTABILITY
1127,q31_violated_known_PURPOSE_LIMITATION_DATA_MINIMISATION
1128,q31_violated_known_NOT_DETERMINED
1129,q31_violated_known_NONE_VIOLATED
1130,q31_violated_known_MISSING
1131,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_SECURITY_ACCOUNTABILITY
1132,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_SECURITY
1133,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_PURPOSE_LIMITATION_DATA_MINIMISATION_STORAGE_LIMITATION_ACCOUNTABILITY
1134,q31_violated_known_PURPOSE_LIMITATION_SECURITY
1135,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_PURPOSE_LIMITATION_DATA_MINIMISATION_STORAGE_LIMITATION
1136,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_PURPOSE_LIMITATION_DATA_MINIMISATION_SECURITY_ACCOUNTABILITY
1137,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_PURPOSE_LIMITATION
1138,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_DATA_MINIMISATION_STORAGE_LIMITATION_ACCOUNTABILITY
1139,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_DATA_MINIMISATION_SECURITY
1140,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_ACCURACY_ACCOUNTABILITY
1141,q31_violated_known_PURPOSE_LIMITATION_DATA_MINIMISATION_ACCOUNTABILITY
1142,q31_violated_known_PURPOSE_LIMITATION_STORAGE_LIMITATION
1143,q32_bases_known_CONSENT_LEGAL_OBLIGATION_LEGITIMATE_INTERESTS
1144,q32_bases_known_CONSENT_CONTRACT
1145,q32_bases_known_CONSENT_LEGAL_OBLIGATION
1146,q32_bases_known_CONSENT_CONTRACT_LEGITIMATE_INTERESTS
1147,q32_bases_known_CONSENT_CONTRACT_LEGAL_OBLIGATION_VITAL_INTERESTS_PUBLIC_TASK_LEGITIMATE_INTERESTS
1148,q32_bases_known_CONSENT_CONTRACT_LEGAL_OBLIGATION_PUBLIC_TASK_LEGITIMATE_INTERESTS
1149,q32_bases_known_CONSENT_CONTRACT_LEGAL_OBLIGATION_LEGITIMATE_INTERESTS
1150,q32_bases_known_CONSENT_CONTRACT_LEGAL_OBLIGATION
1151,q32_bases_known_CONSENT
1152,q31_violated_known_SECURITY
1153,q31_violated_unknown_NOT_DISCUSSED
1154,q31_violated_unknown_NONE_DISCUSSED
1155,q31_violated_unknown_MISSING
1156,q31_violated_known_STORAGE_LIMITATION_SECURITY_ACCOUNTABILITY
1157,q31_violated_known_STORAGE_LIMITATION
1158,q31_violated_known_SECURITY_ACCOUNTABILITY
1159,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_COOPERATION_WITH_AUTHORITY_MANNER_BECAME_KNOWN
1160,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED_OTHER_CIRCUMSTANCES
1161,q47_remedial_known_POLICY_CHANGES
1162,q46_vuln_known_CHILDREN
1163,q46_vuln_known_FINANCIALLY_VULNERABLE
1164,q46_vuln_known_EMPLOYEES
1165,q46_vuln_known_ELDERLY_PATIENTS
1166,q46_vuln_known_ELDERLY
1167,q46_vuln_known_CHILDREN_PATIENTS
1168,q46_vuln_known_CHILDREN_FINANCIALLY_VULNERABLE
1169,q42_mitig_unknown_NOT_MENTIONED
1170,q46_vuln_known_NONE_MENTIONED
1171,q42_mitig_unknown_NOT_DISCUSSED
1172,q42_mitig_unknown_NONE_DISCUSSED
1173,q42_mitig_unknown_MISSING
1174,q42_mitig_known_PREVIOUS_INFRINGEMENTS_OTHER_CIRCUMSTANCES
1175,q42_mitig_known_PREVIOUS_INFRINGEMENTS_COOPERATION_WITH_AUTHORITY
1176,q42_mitig_known_PREVIOUS_INFRINGEMENTS
1177,q46_vuln_known_MISSING
1178,q46_vuln_known_NOT_DISCUSSED
1179,q42_mitig_known_NONE
1180,q47_remedial_known_IMMEDIATE_CESSATION_SYSTEM_UPGRADES
1181,q47_remedial_known_MISSING
1182,q47_remedial_known_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_STAFF_TRAINING
1183,q47_remedial_known_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING_EXTERNAL_AUDIT
1184,q47_remedial_known_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING_DPO_APPOINTMENT
1185,q47_remedial_known_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES_STAFF_TRAINING
1186,q47_remedial_known_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_POLICY_CHANGES
1187,q47_remedial_known_IMMEDIATE_CESSATION_STAFF_TRAINING_POLICY_CHANGES_COMPENSATION_TO_SUBJECTS
1188,q46_vuln_known_PATIENTS
1189,q47_remedial_known_IMMEDIATE_CESSATION_STAFF_TRAINING_EXTERNAL_AUDIT
1190,q47_remedial_known_IMMEDIATE_CESSATION_STAFF_TRAINING
1191,q47_remedial_known_IMMEDIATE_CESSATION_POLICY_CHANGES_STAFF_TRAINING
1192,q47_remedial_known_IMMEDIATE_CESSATION_POLICY_CHANGES_DPO_APPOINTMENT
1193,q47_remedial_known_IMMEDIATE_CESSATION_POLICY_CHANGES
1194,q46_vuln_unknown_MISSING
1195,q42_mitig_known_OTHER_CIRCUMSTANCES
1196,q42_mitig_known_NATURE_GRAVITY_DURATION_MITIGATION_ACTIONS_INTENT_NEGLIGENCE
1197,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS
1198,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES_PREVIOUS_INFRINGEMENTS_DATA_CATEGORIES_AFFECTED_MANNER_BECAME_KNOWN_OTHER_CIRCUMSTANCES
1199,q41_aggrav_unknown_CATEGORIES_AFFECTED
1200,q41_aggrav_known_PREVIOUS_INFRINGEMENTS
1201,q41_aggrav_known_NONE
1202,q41_aggrav_known_NATURE_GRAVITY_DURATION_PREVIOUS_INFRINGEMENTS_DATA_CATEGORIES_AFFECTED
1203,q41_aggrav_known_NATURE_GRAVITY_DURATION_PREVIOUS_INFRINGEMENTS
1204,q41_aggrav_known_NATURE_GRAVITY_DURATION_MANNER_BECAME_KNOWN
1205,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES_DATA_CATEGORIES_AFFECTED
1206,q41_aggrav_unknown_CONNECTION_ACTIVITY_PROCESSING
1207,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES
1208,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_PREVIOUS_INFRINGEMENTS_MANNER_BECAME_KNOWN_DATA_CATEGORIES_AFFECTED
1209,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_PREVIOUS_INFRINGEMENTS
1210,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_OTHER_CIRCUMSTANCES
1211,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_PREVIOUS_INFRINGEMENTS
1212,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY
1213,q41_aggrav_unknown_CATEGORIES_OF_DATA_AFFECTED
1214,q41_aggrav_unknown_MISSING
1215,q42_mitig_known_NATURE_GRAVITY_DURATION_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_OTHER_CIRCUMSTANCES
1216,q42_mitig_known_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_PREVIOUS_INFRINGEMENTS
1217,q42_mitig_known_NATURE_GRAVITY_DURATION_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY
1218,q42_mitig_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_MITIGATION_ACTIONS
1219,q42_mitig_known_NATURE_GRAVITY_DURATION_COOPERATION_WITH_AUTHORITY_OTHER_CIRCUMSTANCES
1220,q42_mitig_known_NATURE_GRAVITY_DURATION_COOPERATION_WITH_AUTHORITY
1221,q42_mitig_known_NATURE_GRAVITY_DURATION
1222,q42_mitig_known_MITIGATION_ACTIONS_PREVIOUS_INFRINGEMENTS_COOPERATION_WITH_AUTHORITY
1223,q42_mitig_known_MITIGATION_ACTIONS
1224,q41_aggrav_unknown_NONE_DISCUSSED
1225,q42_mitig_known_MISSING
1226,q42_mitig_known_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES
1227,q42_mitig_known_COOPERATION_WITH_AUTHORITY_MITIGATION_ACTIONS
1228,q42_mitig_known_COOPERATION_WITH_AUTHORITY
1229,q41_aggrav_unknown_NOT_DISCUSSED
1230,q41_aggrav_unknown_NON_COOPERATION_WITH_AUTHORITY
1231,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY_ACCOUNTABILITY
1232,q31_violated_known_LAWFULNESS_FAIRNESS_TRANSPARENCY
1233,q31_violated_known_DATA_MINIMISATION_SECURITY
1234,q21_breach_types_known_HUMAN_ERROR
1235,q21_breach_types_known_TECHNICAL_FAILURE
1236,q21_breach_types_known_ORGANIZATIONAL_FAILURE_HUMAN_ERROR
1237,q21_breach_types_known_ORGANIZATIONAL_FAILURE
1238,q21_breach_types_known_NOT_APPLICABLE
1239,q21_breach_types_known_MISSING
1240,q21_breach_types_known_HUMAN_ERROR_ORGANIZATIONAL_FAILURE
1241,q21_breach_types_known_CYBER_ATTACK_HUMAN_ERROR
1242,q21_breach_types_known_TECHNICAL_FAILURE_ORGANIZATIONAL_FAILURE
1243,q21_breach_types_known_CYBER_ATTACK
1244,q15_case_initiation_unknown_NOT_DISCUSSED
1245,q15_case_initiation_unknown_MISSING
1246,q15_case_initiation_known_REFERRAL_FROM_OTHER_AUTHORITY
1247,q15_case_initiation_known_NOT_MENTIONED
1248,q15_case_initiation_known_MISSING
1249,q21_breach_types_known_TECHNICAL_FAILURE_CYBER_ATTACK
1250,q21_breach_types_unknown_MISSING
1251,q15_case_initiation_known_EX_OFFICIO_DPA_INITIATIVE
1252,q25_sensitive_data_unknown_NOT_DISCUSSED
1253,q28_mitigations_known_IMMEDIATE_CONTAINMENT_SECURITY_IMPROVEMENTS_STAFF_TRAINING_COOPERATION_WITH_DPA
1254,q28_mitigations_known_IMMEDIATE_CONTAINMENT_SECURITY_IMPROVEMENTS_STAFF_TRAINING
1255,q28_mitigations_known_IMMEDIATE_CONTAINMENT_SECURITY_IMPROVEMENTS_COOPERATION_WITH_DPA
1256,q28_mitigations_known_IMMEDIATE_CONTAINMENT_COOPERATION_WITH_DPA
1257,q28_mitigations_known_IMMEDIATE_CONTAINMENT
1258,q28_mitigations_known_COOPERATION_WITH_DPA
1259,q25_sensitive_data_unknown_MISSING
1260,q21_breach_types_unknown_NOT_DISCUSSED
1261,q25_sensitive_data_known_NOT_MENTIONED
1262,q25_sensitive_data_known_NOT_APPLICABLE
1263,q25_sensitive_data_known_NEITHER
1264,q25_sensitive_data_known_MISSING
1265,q25_sensitive_data_known_ARTICLE_9_SPECIAL_CATEGORY_ARTICLE_10_CRIMINAL
1266,q25_sensitive_data_known_ARTICLE_9_SPECIAL_CATEGORY
1267,q15_case_initiation_known_MEDIA_PUBLIC_ATTENTION
1268,q15_case_initiation_known_COMPLAINT
1269,q31_violated_known_DATA_MINIMISATION_ACCOUNTABILITY_SECURITY
1270,raw_q68_UK_charity_Birthlink_destroyed_4_800_manual_adoption_records_containing_irreplaceable_sensitive_data_in_April_2021_without_authorization_or_security_measures_The_ICO_found_violations_of_Articles_5_1_f_5_2_32_and_33_29_month_delayed_breach_report_A_18_000_fine_was_imposed_considering_financial_hardship_with_negligence_cited_due_to_lack_of_GDPR_understanding_and_policies
1271,raw_q68_Vodafone_Spain_processed_SIM_duplicate_request_without_verifying_identity_enabling_fraud_fined_80_000_for_Article_6_violation_with_history_of_similar_breaches_cited
